regulon_name,regulated_genes,regulated_operon,regulated_tu,total_of_regulatory_interaction,total_of_binding_sites,geneId,leftEndPos,rightEndPos,strand,geneSynonyms,otherDbsGeneIds,productId,productName,productSynonyms,otherDbsProductsIds 
exur,10,7,7,14,14,RDBECOLIGNC02372,3246652.0,3247428.0,forward,EG12739,[STRING:511145.b3094][ASAP:ABE-0010176][ECHOBASE:EB2595][OU-MICROARRAY:b3094][CGSC:801][ECOCYC:EG12739][REFSEQ:b3094],RDBECOLIPDC03979,DNA-binding transcriptional repressor ExuR,"ExuR,negative regulator of exu regulon, exuT, uxaAC, and uxuB",[ALPHAFOLD:P0ACL2][INTERPRO:IPR011711][PFAM:PF07729][SMR:P0ACL2][SMART:SM00895][PROSITE:PS50949][PRIDE:P0ACL2][PRINTS:PR00035][PRODB:PRO_000022557][ECOLIWIKI:b3094][MODBASE:P0ACL2][UNIPROT:P0ACL2][REFSEQ:NP_417565][ECOCYC:PD03270] 
asnc,4,2,4,8,8,RDBECOLIGNC00089,3926545.0,3927003.0,reverse,EG10093,[STRING:511145.b3743][ASAP:ABE-0012237][ECHOBASE:EB0091][OU-MICROARRAY:b3743][CGSC:18520][ECOCYC:EG10093][REFSEQ:b3743],RDBECOLIPDC03932,DNA-binding transcriptional dual regulator AsnC,AsnC,[ALPHAFOLD:P0ACI6][PFAM:PF01037][INTERPRO:IPR000485][DIP:DIP-9178N][SMR:P0ACI6][SMART:SM00344][PROSITE:PS00519][PRIDE:P0ACI6][PRINTS:PR00033][PDB:2CG4][PRODB:PRO_000022169][ECOLIWIKI:b3743][MODBASE:P0ACI6][SWISSMODEL:P0ACI6][UNIPROT:P0ACI6][REFSEQ:NP_418199][ECOCYC:PD00250] 
ebgr,2,1,1,1,0,RDBECOLIGNC00248,3221466.0,3222449.0,forward,EG10254,[STRING:511145.b3075][ASAP:ABE-0010099][ECHOBASE:EB0250][OU-MICROARRAY:b3075][CGSC:829][ECOCYC:EG10254][REFSEQ:b3075],RDBECOLIPDC03978,DNA-binding transcriptional repressor EbgR,EbgR,[INTERPRO:IPR010982][ALPHAFOLD:P06846][PFAM:PF13377][SMR:P06846][DIP:DIP-9488N][SMART:SM00354][PROSITE:PS00356][PRIDE:P06846][PRINTS:PR00036][PRODB:PRO_000022499][ECOLIWIKI:b3075][MODBASE:P06846][REFSEQ:NP_417546][UNIPROT:P06846][ECOCYC:PD03254] 
agar,11,3,3,11,11,RDBECOLIGNC04427,3277856.0,3278665.0,reverse,"yhaW,G7630",[STRING:511145.b3131][ASAP:ABE-0010291][ECHOBASE:EB2615][OU-MICROARRAY:b3131][ECOCYC:G7630][REFSEQ:b3131],RDBECOLIPDC03014,DNA-binding transcriptional repressor AgaR,"YhaW,AgaR",[ALPHAFOLD:P0ACK2][INTERPRO:IPR014036][PFAM:PF00455][PRIDE:P0ACK2][DIP:DIP-48095N][SMART:SM00420][PROSITE:PS00894][ECOLIWIKI:b3131][MODBASE:P0ACK2][UNIPROT:P0ACK2][REFSEQ:NP_417600][ECOCYC:G7630-MONOMER] 
atoc,4,1,1,2,2,RDBECOLIGNC01609,2321866.0,2323251.0,forward,EG11668,[STRING:511145.b2220][ASAP:ABE-0007343][ECHOBASE:EB1619][OU-MICROARRAY:b2220][CGSC:984][ECOCYC:EG11668][REFSEQ:b2220],RDBECOLIPDC00142,DNA-binding transcriptional activator/ornithine decarboxylase inhibitor AtoC,"AtoC,AtoC response regulator,AtoC transcriptional activator; Az protein inhibitor of ODC",[ALPHAFOLD:Q06065][REFSEQ:NP_416724][PFAM:PF02954][INTERPRO:IPR003593][SMR:Q06065][DIP:DIP-9190N][SMART:SM00382][PROSITE:PS50110][PRIDE:Q06065][PRINTS:PR01590][PRODB:PRO_000022182][ECOLIWIKI:b2220][MODBASE:Q06065][SWISSMODEL:Q06065][UNIPROT:Q06065][ECOCYC:ATOC-MONOMER] 
dgor,5,1,1,2,2,RDBECOLIGNC04555,3874471.0,3875160.0,reverse,"yidW,b3695,b3694,G7789",[STRING:511145.b4479][ASAP:ABE-0174108][ECHOBASE:EB1669][OU-MICROARRAY:b3694][ECOCYC:G7789][REFSEQ:b4479],RDBECOLIPDC03134,DNA-binding transcriptional regulator DgoR,"DgoR,YidW",[ALPHAFOLD:P31460][INTERPRO:IPR011711][PFAM:PF07729][PRIDE:P31460][SMR:P31460][DIP:DIP-9435N][SMART:SM00895][PROSITE:PS50949][PRINTS:PR00035][ECOLIWIKI:b4479][REFSEQ:YP_026239][MODBASE:P31460][UNIPROT:P31460][ECOCYC:G7790-MONOMER] 
tdca,7,1,1,1,1,RDBECOLIGNC00977,3266127.0,3267065.0,reverse,EG10989,[STRING:511145.b3118][ASAP:ABE-0010252][ECHOBASE:EB0982][OU-MICROARRAY:b3118][CGSC:29702][ECOCYC:EG10989][REFSEQ:b3118],RDBECOLIPDC03938,DNA-binding transcriptional activator TdcA,"TdcA,transcriptional activator of tdc operon",[ALPHAFOLD:P0ACQ7][INTERPRO:IPR005119][PFAM:PF03466][PRIDE:P0ACQ7][DIP:DIP-10968N][SMR:P0ACQ7][PROSITE:PS50931][PRINTS:PR00039][PRODB:PRO_000024037][ECOLIWIKI:b3118][MODBASE:P0ACQ7][UNIPROT:P0ACQ7][REFSEQ:NP_417588][ECOCYC:PD00268] 
narl,125,34,44,127,97,RDBECOLIGNC00635,1275179.0,1275829.0,reverse,"frdR,narR,EG10643",[STRING:511145.b1221][ASAP:ABE-0004097][ECHOBASE:EB0637][OU-MICROARRAY:b1221][CGSC:18109][ECOCYC:EG10643][REFSEQ:b1221],RDBECOLIPDC03848,DNA-binding transcriptional dual regulator NarL,"NarR,NarL,nitrate/nitrite response regulator NarL,FrdR",[ALPHAFOLD:P0AF28][REFSEQ:NP_415739][INTERPRO:IPR011006][PFAM:PF00196][SMR:P0AF28][DIP:DIP-35941N][SMART:SM00421][PROSITE:PS00622][PDB:1A04][PRIDE:P0AF28][PRINTS:PR00038][PRODB:PRO_000023356][ECOLIWIKI:b1221][MODBASE:P0AF28][SWISSMODEL:P0AF28][UNIPROT:P0AF28][ECOCYC:NARL-MONOMER] 
uhpa,1,1,1,2,2,RDBECOLIGNC01039,3850136.0,3850726.0,reverse,EG11051,[STRING:511145.b3669][ASAP:ABE-0011995][ECHOBASE:EB1044][OU-MICROARRAY:b3669][CGSC:15437][ECOCYC:EG11051][REFSEQ:b3669],RDBECOLIPDC04382,DNA-binding transcriptional activator UhpA,"UhpA response regulator,UhpA",[ALPHAFOLD:P0AGA6][REFSEQ:NP_418125][PFAM:PF00196][PRIDE:P0AGA6][DIP:DIP-11082N][SMR:P0AGA6][INTERPRO:IPR011006][SMART:SM00421][PROSITE:PS00622][PRINTS:PR00038][PRODB:PRO_000024168][ECOLIWIKI:b3669][MODBASE:P0AGA6][UNIPROT:P0AGA6][ECOCYC:UHPA-MONOMER] 
zntr,1,1,1,2,2,RDBECOLIGNC01891,3438705.0,3439130.0,reverse,"yhdM,EG11969",[STRING:511145.b3292][ASAP:ABE-0010793][ECHOBASE:EB1912][OU-MICROARRAY:b3292][ECOCYC:EG11969][REFSEQ:b3292],RDBECOLIPDC01334,DNA-binding transcriptional activator ZntR,"YhdM,ZntR",[ALPHAFOLD:P0ACS5][PFAM:PF13411][SMR:P0ACS5][DIP:DIP-48253N][INTERPRO:IPR009061][SMART:SM00422][PROSITE:PS00552][PDB:1Q08][PRIDE:P0ACS5][PRINTS:PR00040][PRODB:PRO_000024251][ECOLIWIKI:b3292][MODBASE:P0ACS5][UNIPROT:P0ACS5][REFSEQ:NP_417751][ECOCYC:EG11969-MONOMER] 
tdcr,7,1,1,1,1,RDBECOLIGNC00980,3267380.0,3267598.0,forward,EG10992,[STRING:511145.b3119][ASAP:ABE-0010255][ECHOBASE:EB0985][OU-MICROARRAY:b3119][CGSC:29692][ECOCYC:EG10992][REFSEQ:b3119],RDBECOLIPDC03980,DNA-binding transcriptional activator TdcR,"TdcR,threonine dehydratase operon activator protein",[ALPHAFOLD:P11866][PRIDE:P11866][ECOLIWIKI:b3119][REFSEQ:NP_417589][UNIPROT:P11866][ECOCYC:PD03292] 
fliz,22,9,17,18,10,RDBECOLIGNC01324,2000473.0,2001024.0,reverse,"yedH,EG11356",[STRING:511145.b1921][ASAP:ABE-0006394][ECHOBASE:EB1331][OU-MICROARRAY:b1921][ECOCYC:EG11356][REFSEQ:b1921],RDBECOLIPDC00981,DNA-binding transcriptional regulator FliZ,"YedH,FliZ",[ALPHAFOLD:P52627][PFAM:PF02899][INTERPRO:IPR022523][PRIDE:P52627][PRODB:PRO_000022671][ECOLIWIKI:b1921][REFSEQ:NP_416431][UNIPROT:P52627][ECOCYC:EG11356-MONOMER] 
